# time nrequests latency average
11:43:31 0  0.0 0.0
11:43:32 262 0.171490022901 0.0
11:43:33 796 0.399389876884 0.0
11:43:34 919 0.247261598477 0.0
11:43:35 824 0.271278046117 0.0
11:43:36 557 0.149414601436 0.0
11:43:37 392 0.15395632398 0.0
11:43:38 498 0.145970279116 0.0
11:43:39 431 0.596346118329 0.0
11:43:40 484 0.344377270661 0.0
11:43:41 456 0.144576197368 0.0
11:43:42 485 0.151750781443 0.262406033527
11:43:43 426 0.542644769953 0.260432109381
11:43:44 479 0.145006346555 0.274757598688
11:43:45 508 0.14524811811 0.264532073496
11:43:46 452 0.389171630531 0.251929080695
11:43:47 406 0.176159539409 0.275904783605
11:43:48 454 0.375588488987 0.278125105148
11:43:49 466 0.359586922747 0.301086926135
11:43:50 460 0.353411041304 0.277411006576
11:43:51 467 0.144403357602 0.278314383641
11:43:52 405 0.156075582716 0.278297099664
11:43:53 427 0.512503229508 0.278729579791
11:43:54 492 0.143784426829 0.275715425747
11:43:55 485 0.138972035052 0.275593233774
11:43:56 442 0.542929054299 0.274965625468
11:43:57 405 0.148855883951 0.290341367845
11:43:58 465 0.376885230108 0.287611002299
11:43:59 478 0.356587322176 0.287740676411
11:44:00 473 0.362463399577 0.287440716354
11:44:01 448 0.146379109375 0.288345952182
11:44:02 384 0.152707236979 0.288543527359
11:44:03 428 0.520570778037 0.288206692785
11:44:04 499 0.142879206413 0.289013447638
11:44:05 492 0.183085022358 0.288922925597
11:44:06 408 0.614032338235 0.293334224327
11:44:07 408 0.154720495098 0.300444552721
11:44:08 456 0.403145096491 0.301031013836
11:44:09 468 0.362005307692 0.303657000474
11:44:10 466 0.355412229614 0.304198799026
11:44:11 439 0.141640911162 0.303493682029
11:44:12 408 0.149686009804 0.303019862208
11:44:13 458 0.142936657205 0.30271773949
11:44:14 483 0.507546360248 0.264954327407
11:44:15 513 0.140126208577 0.301421042791
11:44:16 399 0.710939112782 0.297125161413
11:44:17 419 0.150462634845 0.306815838867
11:44:18 465 0.383666563441 0.306390052842
11:44:19 475 0.350507694737 0.304442199537
11:44:20 461 0.361666041215 0.303292438241
11:44:21 449 0.142631812918 0.303917819402
11:44:22 411 0.151648610706 0.304016909577
11:44:23 454 0.141720559471 0.304213169667
11:44:24 486 0.146174617284 0.304091559894
11:44:25 483 0.415784772257 0.267954385597
11:44:26 443 0.391314489842 0.295520241965
11:44:27 420 0.15422147381 0.263557779671
11:44:28 449 0.393604224944 0.263933663568
11:44:29 479 0.342590306889 0.264927429718
11:44:30 464 0.359891756466 0.264135690934
11:44:31 469 0.141310328358 0.263958262459
11:44:32 397 0.151142680101 0.263826114003
11:44:33 461 0.141047841649 0.263775520942
11:44:34 449 0.139104734967 0.26370824916
11:44:35 502 0.463061233068 0.263001260928
11:44:36 418 0.404460669856 0.267728907009
11:44:37 409 0.168122652812 0.269043525011
11:44:38 462 0.380249794372 0.270433642911
11:44:39 467 0.367049089936 0.269098199854
11:44:40 460 0.362330173913 0.271544078158
11:44:41 448 0.237728332589 0.271787919903
11:44:42 408 0.15034057598 0.281429720326
11:44:43 473 0.146058448203 0.281349509914
11:44:44 467 0.142531625268 0.28185057057
11:44:45 475 0.494105096842 0.2821932596
11:44:46 435 0.3954292 0.285297645977
11:44:47 409 0.155820244499 0.284394498992
11:44:48 446 0.384326118834 0.28316425816
11:44:49 460 0.362490541304 0.283571890606
11:44:50 447 0.367559451902 0.283116035743
11:44:51 476 0.141484056723 0.283638963542
11:44:52 455 0.152892604396 0.274014535955
11:44:53 486 0.144364506173 0.274269738797
11:44:54 427 0.594123747073 0.274100344594
11:44:55 500 0.147125072 0.319259556774
11:44:56 455 0.36229843956 0.28456155429
11:44:57 403 0.153518074442 0.281248478246
11:44:58 462 0.36173154329 0.281018261241
11:44:59 459 0.360152030501 0.278758803686
11:45:00 469 0.327387219616 0.278524952606
11:45:01 435 0.146510050575 0.274507729377
11:45:02 387 0.154036881137 0.275010328763
11:45:03 449 0.379485449889 0.275124756437
11:45:04 494 0.147491540486 0.298636850808
11:45:05 488 0.337476413934 0.25397363015
11:45:06 426 0.400111802817 0.273008764343
11:45:07 410 0.153301439024 0.276790100669
11:45:08 450 0.395605631111 0.276768437127
11:45:09 470 0.347274108511 0.280155845909
11:45:10 483 0.148531871636 0.27886805371
11:45:11 459 0.14615091939 0.260982518912
11:45:12 375 0.152924632 0.260946605793
11:45:13 455 0.391226367033 0.26083538088
11:45:14 498 0.139696084337 0.262009472594
11:45:15 488 0.336453461066 0.261229926979
11:45:16 437 0.379545787185 0.261127631692
11:45:17 445 0.151169483146 0.259071030129
11:45:18 466 0.388126959227 0.258857834541
11:45:19 469 0.346287247335 0.258109967353
11:45:20 479 0.140394419624 0.258011281236
11:45:21 458 0.139921087336 0.257197536034
11:45:22 432 0.153282016204 0.256574552829
11:45:23 448 0.461602694196 0.256610291249
11:45:24 474 0.354879348101 0.263647923966
11:45:25 468 0.354655032051 0.285166250342
11:45:26 464 0.14681262069 0.286986407441
11:45:27 425 0.152534611765 0.263713090791
11:45:28 520 0.147497763462 0.263849603653
11:45:29 373 0.642389313673 0.239786684076
11:45:30 517 0.142945433269 0.26939689071
11:45:31 103 0.145176126214 0.269651992075
11:45:32 206 0.154893805825 0.270177495962
11:45:33 437 0.14509287643 0.270338674925
11:45:34 448 0.429653645089 0.238687693148
11:45:35 470 0.145346148936 0.246165122847
11:45:36 408 0.398623343137 0.225234234535
11:45:37 424 0.152807386792 0.25041530678
11:45:38 454 0.395322182819 0.250442584283
